변환,원자료,원자료
"2009/01/02","3.420","12.040"
"2009/01/05","3.350","11.870"
"2009/01/06","3.340","11.850"
"2009/01/07","3.450","11.900"
"2009/01/08","3.260","11.700"
"2009/01/09","3.480","11.900"
"2009/01/12","3.530","11.920"
"2009/01/13","3.500","11.910"
"2009/01/14","3.360","11.810"
"2009/01/15","3.560","11.990"
"2009/01/16","3.610","12.050"
"2009/01/19","3.420","11.960"
"2009/01/20","3.480","12.020"
"2009/01/21","3.390","11.990"
"2009/01/22","3.390","12.010"
"2009/01/23","3.380","11.980"
"2009/01/28","3.360","11.960"
"2009/01/29","3.410","12.010"
"2009/01/30","3.590","12.160"
"2009/02/02","3.780","12.420"
"2009/02/03","3.840","12.550"
"2009/02/04","3.700","12.460"
"2009/02/05","3.790","12.540"
"2009/02/06","3.730","12.460"
"2009/02/09","3.740","12.420"
"2009/02/10","3.730","12.400"
"2009/02/11","3.660","12.310"
"2009/02/12","3.620","12.250"
"2009/02/13","3.570","12.180"
"2009/02/16","3.690","12.200"
"2009/02/17","3.970","12.490"
"2009/02/18","3.740","12.410"
"2009/02/19","3.750","12.370"
"2009/02/20","3.920","12.440"
"2009/02/23","3.830","12.390"
"2009/02/24","3.900","12.460"
"2009/02/25","3.990","12.540"
"2009/02/26","3.880","12.440"
"2009/02/27","3.820","12.350"
"2009/03/02","3.870","12.380"
"2009/03/03","3.740","12.280"
"2009/03/04","3.700","12.220"
"2009/03/05","3.710","12.220"
"2009/03/06","3.630","12.140"
"2009/03/09","3.660","12.160"
"2009/03/10","3.620","12.090"
"2009/03/11","3.690","12.130"
"2009/03/12","3.620","12.050"
"2009/03/13","3.720","12.130"
"2009/03/16","3.740","12.150"
"2009/03/17","3.620","12.040"
"2009/03/18","3.660","12.060"
"2009/03/19","3.490","11.930"
"2009/03/20","3.490","11.940"
"2009/03/23","3.550","11.970"
"2009/03/24","3.640","12.050"
"2009/03/25","3.640","12.040"
"2009/03/26","3.710","12.100"
"2009/03/27","3.740","12.100"
"2009/03/30","3.890","12.190"
"2009/03/31","3.940","12.190"
"2009/04/01","3.830","12.060"
"2009/04/02","3.870","12.040"
"2009/04/03","3.950","12.030"
"2009/04/06","3.990","12.060"
"2009/04/07","3.940","12.020"
"2009/04/08","3.890","11.970"
"2009/04/09","3.880","11.960"
"2009/04/10","3.880","11.960"
"2009/04/13","3.880","11.950"
"2009/04/14","3.780","11.870"
"2009/04/15","3.750","11.820"
"2009/04/16","3.800","11.850"
"2009/04/17","3.720","11.780"
"2009/04/20","3.700","11.750"
"2009/04/21","3.690","11.730"
"2009/04/22","3.720","11.750"
"2009/04/23","3.700","11.720"
"2009/04/24","3.570","11.540"
"2009/04/27","3.580","11.550"
"2009/04/28","3.500","11.440"
"2009/04/29","3.510","11.460"
"2009/04/30","3.590","11.520"
"2009/05/04","3.780","11.680"
"2009/05/06","3.800","11.670"
"2009/05/07","3.910","11.700"
"2009/05/08","3.900","11.690"
"2009/05/11","3.930","11.710"
"2009/05/12","3.830","11.580"
"2009/05/13","3.850","11.470"
"2009/05/14","3.770","11.350"
"2009/05/15","3.790","11.350"
"2009/05/18","3.750","11.310"
"2009/05/19","3.860","11.360"
"2009/05/20","3.870","11.360"
"2009/05/21","3.840","11.310"
"2009/05/22","3.850","11.300"
"2009/05/25","3.810","11.250"
"2009/05/26","3.790","11.240"
"2009/05/27","3.820","11.250"
"2009/05/28","3.870","11.290"
"2009/05/29","3.830","11.250"
"2009/06/01","3.810","11.220"
"2009/06/02","3.930","11.240"
"2009/06/03","3.910","11.200"
"2009/06/04","3.880","11.170"
"2009/06/05","3.870","11.160"
"2009/06/08","4.020","11.310"
"2009/06/09","4.030","11.350"
"2009/06/10","4.040","11.350"
"2009/06/11","4.220","11.530"
"2009/06/12","4.300","11.590"
"2009/06/15","4.270","11.570"
"2009/06/16","4.250","11.550"
"2009/06/17","4.240","11.530"
"2009/06/18","4.200","11.490"
"2009/06/19","4.170","11.460"
"2009/06/22","4.200","11.480"
"2009/06/23","4.120","11.410"
"2009/06/24","4.070","11.370"
"2009/06/25","4.170","11.470"
"2009/06/26","4.120","11.430"
"2009/06/29","4.100","11.400"
"2009/06/30","4.160","11.470"
"2009/07/01","4.080","11.420"
"2009/07/02","4.060","11.410"
"2009/07/03","4.040","11.390"
"2009/07/06","4.090","11.430"
"2009/07/07","4.130","11.490"
"2009/07/08","4.060","11.460"
"2009/07/09","4.000","11.400"
"2009/07/10","3.910","11.350"
"2009/07/13","3.950","11.390"
"2009/07/14","3.960","11.400"
"2009/07/15","3.990","11.430"
"2009/07/16","3.990","11.440"
"2009/07/17","4.100","11.550"
"2009/07/20","4.180","11.640"
"2009/07/21","4.160","11.630"
"2009/07/22","4.210","11.670"
"2009/07/23","4.160","11.640"
"2009/07/24","4.160","11.640"
"2009/07/27","4.170","11.650"
"2009/07/28","4.160","11.650"
"2009/07/29","4.170","11.670"
"2009/07/30","4.150","11.650"
"2009/07/31","4.260","11.750"
"2009/08/03","4.370","11.850"
"2009/08/04","4.350","11.840"
"2009/08/05","4.430","11.890"
"2009/08/06","4.490","11.940"
"2009/08/07","4.460","11.930"
"2009/08/10","4.470","11.950"
"2009/08/11","4.410","11.890"
"2009/08/12","4.450","11.920"
"2009/08/13","4.520","11.970"
"2009/08/14","4.610","12.030"
"2009/08/17","4.460","11.920"
"2009/08/18","4.510","11.950"
"2009/08/19","4.370","11.830"
"2009/08/20","4.390","11.850"
"2009/08/21","4.340","11.800"
"2009/08/24","4.400","11.850"
"2009/08/25","4.340","11.800"
"2009/08/26","4.360","11.780"
"2009/08/27","4.310","11.740"
"2009/08/28","4.350","11.780"
"2009/08/31","4.380","11.810"
"2009/09/01","4.370","11.810"
"2009/09/02","4.310","11.750"
"2009/09/03","4.280","11.720"
"2009/09/04","4.300","11.730"
"2009/09/07","4.330","11.750"
"2009/09/08","4.310","11.710"
"2009/09/09","4.290","11.690"
"2009/09/10","4.500","11.860"
"2009/09/11","4.490","11.840"
"2009/09/14","4.490","11.840"
"2009/09/15","4.470","11.810"
"2009/09/16","4.400","11.750"
"2009/09/17","4.400","11.750"
"2009/09/18","4.370","11.720"
"2009/09/21","4.430","11.770"
"2009/09/22","4.490","11.820"
"2009/09/23","4.470","11.800"
"2009/09/24","4.440","11.780"
"2009/09/25","4.430","11.760"
"2009/09/28","4.450","11.780"
"2009/09/29","4.470","11.800"
"2009/09/30","4.390","11.740"
"2009/10/01","4.360","11.720"
"2009/10/05","4.340","11.700"
"2009/10/06","4.440","11.800"
"2009/10/07","4.450","11.800"
"2009/10/08","4.470","11.810"
"2009/10/09","4.360","11.700"
"2009/10/12","4.390","11.730"
"2009/10/13","4.370","11.710"
"2009/10/14","4.370","11.710"
"2009/10/15","4.430","11.750"
"2009/10/16","4.560","11.870"
"2009/10/19","4.540","11.860"
"2009/10/20","4.550","11.870"
"2009/10/21","4.530","11.850"
"2009/10/22","4.550","11.870"
"2009/10/23","4.590","11.910"
"2009/10/26","4.620","11.940"
"2009/10/27","4.540","11.850"
"2009/10/28","4.510","11.830"
"2009/10/29","4.450","11.770"
"2009/10/30","4.440","11.770"
"2009/11/02","4.430","11.750"
"2009/11/03","4.430","11.740"
"2009/11/04","4.470","11.780"
"2009/11/05","4.460","11.760"
"2009/11/06","4.460","11.770"
"2009/11/09","4.490","11.780"
"2009/11/10","4.470","11.740"
"2009/11/11","4.420","11.710"
"2009/11/12","4.340","11.630"
"2009/11/13","4.270","11.580"
"2009/11/16","4.290","11.600"
"2009/11/17","4.240","11.520"
"2009/11/18","4.270","11.550"
"2009/11/19","4.240","11.510"
"2009/11/20","4.260","11.520"
"2009/11/23","4.300","11.560"
"2009/11/24","4.280","11.540"
"2009/11/25","4.250","11.510"
"2009/11/26","4.200","11.460"
"2009/11/27","4.050","11.330"
"2009/11/30","4.100","11.360"
"2009/12/01","4.050","11.310"
"2009/12/02","4.130","11.380"
"2009/12/03","4.120","11.370"
"2009/12/04","4.160","11.410"
"2009/12/07","4.240","11.480"
