변환,원자료,원자료,원자료
"2009/01/02","3.93","4.250","7.730"
"2009/01/05","3.92","4.220","7.510"
"2009/01/06","3.92","4.240","7.460"
"2009/01/07","3.92","4.350","7.450"
"2009/01/08","3.25","4.160","7.250"
"2009/01/09","3.18","4.370","7.430"
"2009/01/12","3.18","4.420","7.460"
"2009/01/13","3.13","4.390","7.420"
"2009/01/14","3.02","4.280","7.250"
"2009/01/15","2.98","4.470","7.380"
"2009/01/16","2.97","4.530","7.390"
"2009/01/19","2.97","4.430","7.250"
"2009/01/20","2.97","4.520","7.290"
"2009/01/21","2.97","4.490","7.220"
"2009/01/22","2.96","4.500","7.220"
"2009/01/23","2.96","4.500","7.190"
"2009/01/28","2.96","4.510","7.140"
"2009/01/29","2.96","4.570","7.190"
"2009/01/30","2.96","4.710","7.290"
"2009/02/02","2.96","5.050","7.490"
"2009/02/03","2.96","5.200","7.570"
"2009/02/04","2.96","5.200","7.450"
"2009/02/05","2.92","5.310","7.480"
"2009/02/06","2.92","5.270","7.370"
"2009/02/09","2.92","5.290","7.290"
"2009/02/10","2.92","5.310","7.170"
"2009/02/11","2.92","5.270","7.070"
"2009/02/12","2.64","5.250","6.970"
"2009/02/13","2.57","5.190","6.850"
"2009/02/16","2.57","5.260","6.850"
"2009/02/17","2.57","5.510","7.050"
"2009/02/18","2.56","5.450","6.960"
"2009/02/19","2.55","5.340","6.890"
"2009/02/20","2.54","5.270","6.930"
"2009/02/23","2.53","5.150","6.860"
"2009/02/24","2.51","5.150","6.880"
"2009/02/25","2.51","5.160","6.920"
"2009/02/26","2.49","5.060","6.740"
"2009/02/27","2.49","5.060","6.600"
"2009/03/02","2.49","5.100","6.620"
"2009/03/03","2.49","5.040","6.480"
"2009/03/04","2.49","5.030","6.290"
"2009/03/05","2.49","5.070","6.280"
"2009/03/06","2.49","5.030","6.200"
"2009/03/09","2.45","5.060","6.210"
"2009/03/10","2.45","4.880","6.110"
"2009/03/11","2.45","4.910","6.150"
"2009/03/12","2.45","4.840","6.080"
"2009/03/13","2.43","4.880","6.160"
"2009/03/16","2.43","4.950","6.120"
"2009/03/17","2.43","4.850","6.010"
"2009/03/18","2.43","4.870","6.040"
"2009/03/19","2.43","4.730","5.910"
"2009/03/20","2.43","4.770","5.920"
"2009/03/23","2.43","4.940","5.940"
"2009/03/24","2.43","5.010","6.020"
"2009/03/25","2.43","5.000","6.020"
"2009/03/26","2.43","5.080","6.070"
"2009/03/27","2.43","5.060","6.070"
"2009/03/30","2.43","5.150","6.150"
"2009/03/31","2.43","5.170","6.130"
"2009/04/01","2.43","5.080","6.020"
"2009/04/02","2.43","5.060","5.990"
"2009/04/03","2.43","5.050","5.990"
"2009/04/06","2.43","5.130","6.010"
"2009/04/07","2.43","5.130","5.970"
"2009/04/08","2.43","5.080","5.910"
"2009/04/09","2.43","5.030","5.880"
"2009/04/10","2.43","5.040","5.870"
"2009/04/13","2.43","5.040","5.840"
"2009/04/14","2.43","4.990","5.740"
"2009/04/15","2.42","4.890","5.690"
"2009/04/16","2.41","4.900","5.700"
"2009/04/17","2.41","4.840","5.620"
"2009/04/20","2.41","4.820","5.590"
"2009/04/21","2.41","4.810","5.570"
"2009/04/22","2.41","4.840","5.590"
"2009/04/23","2.41","4.830","5.550"
"2009/04/24","2.41","4.720","5.370"
"2009/04/27","2.41","4.730","5.350"
"2009/04/28","2.41","4.560","5.210"
"2009/04/29","2.41","4.560","5.230"
"2009/04/30","2.41","4.690","5.290"
"2009/05/04","2.41","4.860","5.450"
"2009/05/06","2.41","4.880","5.450"
